Year,Health Condition,General happiness,U.S. Region,Income,Race,Sex,Highest Degree,Age,Marital status,Work Status,ID
2000,Excellent,10,W. sou. central,$10000 - 14999,Other,Male,Bachelor,26,Married,Working parttime,55
2000,Good,5,W. sou. central,$20000 - 24999,White,Female,High school,51,Divorced,Working fulltime,57
2000,Excellent,10,W. sou. central,$25000 or more,White,Female,Graduate,45,Divorced,Working fulltime,58
2000,Good,10,W. sou. central,$1000 to 2999,White,Female,Bachelor,23,Never married,Keeping house,59
2000,Excellent,10,W. sou. central,$25000 or more,Other,Female,Graduate,31,Married,Working fulltime,62
2000,Good,5,W. sou. central,$25000 or more,Black,Female,Bachelor,27,Never married,Working fulltime,63
2000,Good,10,W. sou. central,$10000 - 14999,White,Female,Lt high school,29,Never married,Working parttime,65
2000,Excellent,5,W. sou. central,$25000 or more,White,Female,Junior college,61,Divorced,Working fulltime,67
2000,Excellent,10,E. nor. central,$15000 - 19999,Black,Female,High school,34,Never married,Keeping house,69
2000,Excellent,10,E. nor. central,$10000 - 14999,Black,Female,Lt high school,32,Never married,Working fulltime,76
2000,Excellent,10,E. nor. central,$25000 or more,Black,Male,Graduate,32,Married,Working fulltime,79
2000,Fair,10,E. nor. central,$25000 or more,Black,Female,Graduate,29,Never married,Working fulltime,80
2000,Good,10,E. nor. central,$3000 to 3999,White,Female,Junior college,44,Married,Working parttime,82
2000,Good,10,E. nor. central,$3000 to 3999,Black,Female,High school,51,Married,Working parttime,85
2000,Good,10,E. nor. central,$20000 - 24999,Black,Male,High school,22,Never married,Working fulltime,87
2000,Poor,0,E. nor. central,$25000 or more,Black,Female,Bachelor,53,Separated,Working fulltime,88
2000,Excellent,10,E. nor. central,$10000 - 14999,White,Male,High school,20,Never married,Working fulltime,89
2000,Excellent,5,E. nor. central,$25000 or more,White,Male,Junior college,45,Married,Working fulltime,92
2000,Excellent,10,E. nor. central,$20000 - 24999,White,Male,High school,51,Never married,Working fulltime,95
2000,Excellent,5,E. nor. central,Lt $1000,White,Female,Graduate,52,Married,Working parttime,98
2000,Excellent,10,E. nor. central,$25000 or more,White,Male,Bachelor,45,Married,Working fulltime,102
2000,Good,5,E. nor. central,$25000 or more,Other,Male,Bachelor,50,Married,Working fulltime,104
2000,Good,5,E. nor. central,$25000 or more,White,Female,Bachelor,47,Divorced,Working fulltime,108
2000,Poor,10,E. nor. central,$25000 or more,White,Male,Bachelor,72,Married,Retired,109
2000,Good,10,E. nor. central,$10000 - 14999,Other,Female,High school,29,Never married,Working fulltime,110
2000,Good,5,E. nor. central,$20000 - 24999,White,Male,Junior college,26,Married,Working parttime,111
2000,Good,10,E. nor. central,$25000 or more,Black,Female,High school,62,Divorced,Working fulltime,116
2000,Excellent,5,Middle atlantic,$10000 - 14999,White,Female,Lt high school,47,Married,Keeping house,119
2000,Fair,10,Middle atlantic,$20000 - 24999,White,Female,High school,37,Divorced,Working fulltime,126
2000,Good,5,Middle atlantic,$3000 to 3999,White,Male,High school,23,Never married,Working parttime,131
2000,Good,5,Middle atlantic,$10000 - 14999,White,Male,High school,30,Married,Working fulltime,132
2000,Excellent,10,Middle atlantic,$8000 to 9999,White,Male,Graduate,32,Married,Working fulltime,133
2000,Fair,0,Middle atlantic,$10000 - 14999,Black,Female,High school,50,Divorced,Working fulltime,134
2000,Good,10,Middle atlantic,$8000 to 9999,Black,Female,High school,38,Widowed,Keeping house,135
2000,Good,10,South atlantic,$15000 - 19999,Black,Female,Junior college,32,Never married,Working fulltime,146
2000,Fair,0,South atlantic,$1000 to 2999,Black,Female,High school,58,Never married,Working fulltime,147
2000,Fair,10,South atlantic,$8000 to 9999,Black,Female,High school,29,Never married,Working fulltime,148
2000,Good,10,South atlantic,$25000 or more,Black,Female,Bachelor,39,Never married,Working fulltime,149
2000,Excellent,5,Middle atlantic,$20000 - 24999,White,Female,High school,41,Married,Working fulltime,154
2000,Good,10,Middle atlantic,$20000 - 24999,White,Male,Lt high school,33,Never married,Working fulltime,156
2000,Good,10,Middle atlantic,$25000 or more,White,Male,High school,41,Widowed,Working fulltime,158
2000,Excellent,5,Middle atlantic,$25000 or more,White,Male,Graduate,58,Married,Working fulltime,159
2000,Good,10,Middle atlantic,$25000 or more,White,Female,Bachelor,48,Married,Working fulltime,160
2000,Good,5,Middle atlantic,$15000 - 19999,White,Female,High school,43,Married,Working fulltime,162
2000,Good,10,Middle atlantic,$10000 - 14999,White,Female,Lt high school,62,Married,Working parttime,163
2000,Excellent,5,Middle atlantic,$25000 or more,White,Male,Bachelor,48,Never married,Working fulltime,164
2000,Good,10,Middle atlantic,$1000 to 2999,White,Male,Lt high school,19,Never married,Working parttime,167
2000,Good,10,Middle atlantic,$25000 or more,White,Male,Lt high school,42,Married,Working fulltime,169
2000,Excellent,10,Middle atlantic,$25000 or more,White,Male,High school,30,Never married,Working fulltime,171
2000,Excellent,10,Middle atlantic,$25000 or more,White,Male,High school,36,Married,Working fulltime,173
2000,Excellent,5,Middle atlantic,$25000 or more,White,Female,Bachelor,58,Married,Working fulltime,175
2000,Good,10,Middle atlantic,$25000 or more,White,Female,High school,55,Married,Working fulltime,177
2000,Good,5,Middle atlantic,$25000 or more,Black,Male,Bachelor,48,Widowed,Working fulltime,183
2000,Excellent,5,Middle atlantic,$25000 or more,White,Male,Graduate,50,Married,Working fulltime,185
2000,Good,5,Middle atlantic,$25000 or more,White,Male,Graduate,51,Married,Working fulltime,186
2000,Good,10,Middle atlantic,$25000 or more,White,Female,Graduate,48,Divorced,Working fulltime,187
2000,Good,5,Middle atlantic,Lt $1000,White,Male,Bachelor,39,Married,Working fulltime,189
2000,Good,10,Pacific,$25000 or more,White,Male,Bachelor,40,Never married,Working fulltime,191
2000,Good,10,Pacific,$8000 to 9999,White,Female,Bachelor,33,Never married,Working parttime,192
2000,Excellent,10,Pacific,$25000 or more,White,Male,Lt high school,56,Divorced,Retired,193
2000,Fair,10,Pacific,$3000 to 3999,Black,Female,High school,77,Widowed,Working parttime,202
2000,Good,5,Pacific,$10000 - 14999,White,Female,Bachelor,40,Married,Working fulltime,204
2000,Excellent,10,Pacific,$3000 to 3999,White,Female,Bachelor,39,Married,Working parttime,205
2000,Excellent,10,Pacific,$25000 or more,White,Male,High school,45,Divorced,Working fulltime,207
2000,Excellent,10,Pacific,$25000 or more,White,Female,High school,53,Never married,Working fulltime,209
2000,Good,10,Pacific,$25000 or more,White,Female,Bachelor,39,Married,Temp not working,211
2000,Good,5,Pacific,$25000 or more,White,Male,High school,41,Married,Working fulltime,213
2000,Fair,10,Pacific,$1000 to 2999,White,Male,Lt high school,20,Never married,Working fulltime,215
2000,Fair,0,Pacific,$8000 to 9999,White,Female,High school,26,Never married,Working fulltime,216
2000,Good,10,Pacific,$25000 or more,White,Male,Lt high school,21,Never married,Working fulltime,217
2000,Good,10,Pacific,Lt $1000,White,Female,High school,31,Married,Keeping house,218
2000,Excellent,5,Pacific,$25000 or more,White,Female,High school,28,Married,Working fulltime,221
2000,Good,10,Pacific,$25000 or more,White,Male,High school,36,Married,Working fulltime,223
2000,Excellent,5,Pacific,$15000 - 19999,White,Female,Junior college,35,Never married,Working parttime,224
2000,Fair,10,Pacific,$25000 or more,White,Female,Lt high school,38,Divorced,Temp not working,225
2000,Excellent,10,Pacific,$25000 or more,White,Male,Bachelor,28,Never married,School,227
2000,Good,0,Pacific,$8000 to 9999,White,Male,Lt high school,62,Never married,Other,228
2000,Good,10,Pacific,$25000 or more,White,Female,High school,53,Married,Working fulltime,229
2000,Good,5,Pacific,$25000 or more,White,Male,High school,46,Married,Working fulltime,232
2000,Good,10,Pacific,$25000 or more,White,Male,High school,56,Married,Working fulltime,234
2000,Good,10,Pacific,$3000 to 3999,White,Female,High school,42,Never married,Keeping house,235
2000,Good,5,Pacific,$25000 or more,White,Male,Graduate,49,Separated,Working fulltime,238
2000,Excellent,5,Pacific,$25000 or more,White,Male,High school,32,Married,Working fulltime,245
2000,Good,10,Pacific,$3000 to 3999,Other,Female,High school,20,Never married,Working parttime,246
2000,Good,10,Pacific,$25000 or more,White,Male,High school,51,Married,Working fulltime,247
2000,Good,5,Pacific,$6000 to 6999,Other,Male,Lt high school,35,Married,Working fulltime,248
2000,Excellent,5,Pacific,$15000 - 19999,Other,Male,Junior college,54,Married,Working fulltime,249
2000,Good,5,Pacific,$6000 to 6999,White,Female,Graduate,65,Widowed,Working parttime,250
2000,Good,10,Pacific,$25000 or more,White,Female,Bachelor,48,Married,Working fulltime,252
2000,Excellent,10,Pacific,$4000 to 4999,White,Female,Bachelor,38,Married,Keeping house,256
2000,Excellent,5,E. nor. central,$10000 - 14999,White,Female,High school,48,Married,Working parttime,259
2000,Good,10,E. nor. central,$25000 or more,White,Male,Junior college,29,Never married,Working fulltime,260
2000,Good,10,E. nor. central,$25000 or more,White,Male,High school,64,Separated,Working fulltime,261
2000,Good,10,E. nor. central,$25000 or more,White,Male,High school,26,Divorced,Working fulltime,262
2000,Excellent,10,E. nor. central,$25000 or more,White,Male,High school,58,Married,Working fulltime,264
2000,Poor,10,E. nor. central,$25000 or more,White,Male,Bachelor,47,Married,Temp not working,267
2000,Good,10,E. nor. central,$25000 or more,Black,Male,Bachelor,43,Married,Working fulltime,271
2000,Excellent,10,E. nor. central,$10000 - 14999,Black,Male,High school,32,Married,Working parttime,284
2000,Excellent,0,E. nor. central,$15000 - 19999,Black,Male,High school,32,Never married,Working fulltime,286
2000,Good,10,E. nor. central,$7000 to 7999,Black,Male,High school,25,Never married,Working fulltime,289
2000,Good,0,E. nor. central,$8000 to 9999,Black,Female,High school,54,Divorced,Temp not working,290
2000,Good,10,E. nor. central,Lt $1000,Black,Male,Lt high school,47,Married,Working fulltime,291
2000,Good,10,E. nor. central,$25000 or more,Black,Male,High school,31,Never married,Working fulltime,292
2000,Good,5,E. nor. central,$15000 - 19999,Black,Female,High school,60,Separated,Working fulltime,294
2000,Good,10,E. nor. central,$25000 or more,White,Male,High school,36,Married,Working fulltime,296
2000,Good,10,E. nor. central,$15000 - 19999,Black,Male,High school,28,Divorced,Working fulltime,298
2000,Excellent,10,E. nor. central,$10000 - 14999,Black,Female,Junior college,34,Never married,Working parttime,299
2000,Good,10,E. nor. central,$15000 - 19999,Black,Female,High school,44,Never married,Working fulltime,300
2000,Good,5,E. nor. central,$3000 to 3999,Black,Female,Lt high school,31,Divorced,Working fulltime,303
2000,Good,10,E. nor. central,$25000 or more,White,Male,High school,45,Divorced,Working fulltime,304
2000,Good,5,E. nor. central,$15000 - 19999,White,Female,Bachelor,38,Married,Working fulltime,309
2000,Excellent,5,E. nor. central,$25000 or more,White,Female,Bachelor,73,Divorced,Working fulltime,310
2000,Excellent,10,E. nor. central,$25000 or more,White,Female,Graduate,31,Married,Working fulltime,311
2000,Excellent,5,E. nor. central,$6000 to 6999,White,Female,Bachelor,44,Married,Temp not working,312
2000,Excellent,5,E. nor. central,$25000 or more,White,Female,Bachelor,34,Married,Working parttime,313
2000,Excellent,5,E. nor. central,$25000 or more,White,Female,Bachelor,26,Never married,Working fulltime,314
2000,Excellent,10,E. nor. central,$25000 or more,Black,Male,High school,38,Married,Working fulltime,315
2000,Excellent,10,E. nor. central,$25000 or more,White,Female,Bachelor,29,Never married,Working fulltime,316
2000,Good,10,E. nor. central,$25000 or more,Other,Male,Graduate,36,Never married,Working parttime,317
2000,Excellent,5,E. nor. central,$25000 or more,White,Male,Graduate,32,Married,Working fulltime,318
2000,Excellent,10,E. nor. central,$5000 to 5999,White,Female,Bachelor,26,Married,Other,319
2000,Good,5,E. nor. central,$25000 or more,White,Female,Graduate,37,Divorced,Working fulltime,321
2000,Excellent,10,E. nor. central,$25000 or more,White,Female,Bachelor,29,Never married,Working fulltime,322
2000,Good,0,E. nor. central,$25000 or more,Other,Male,Bachelor,37,Never married,Working fulltime,323
2000,Excellent,5,E. nor. central,$25000 or more,White,Female,Bachelor,26,Married,Working fulltime,326
2000,Fair,10,E. nor. central,$20000 - 24999,Other,Male,High school,23,Never married,Working parttime,328
2000,Fair,10,E. nor. central,$15000 - 19999,White,Male,High school,22,Never married,Working fulltime,329
2000,Excellent,5,E. nor. central,$25000 or more,White,Male,High school,42,Married,Working fulltime,330
2000,Good,10,E. nor. central,$25000 or more,White,Male,High school,43,Married,Working fulltime,332
2000,Good,10,E. nor. central,$25000 or more,White,Male,Junior college,49,Married,Working fulltime,333
2000,Excellent,5,E. nor. central,$6000 to 6999,White,Female,Bachelor,47,Married,Working parttime,335
2000,Excellent,10,E. nor. central,$25000 or more,White,Male,Junior college,37,Married,Working fulltime,336
2000,Excellent,5,E. nor. central,$25000 or more,White,Male,Junior college,42,Married,Working fulltime,337
2000,Excellent,5,E. nor. central,$25000 or more,White,Male,Graduate,51,Married,Working fulltime,340
2000,Excellent,10,E. nor. central,$25000 or more,White,Male,High school,30,Married,Working fulltime,341
2000,Excellent,5,E. nor. central,$25000 or more,White,Male,Junior college,59,Married,Working fulltime,342
2000,Good,5,E. nor. central,$20000 - 24999,White,Male,High school,52,Married,Working fulltime,343
2000,Good,10,E. nor. central,$3000 to 3999,White,Female,Lt high school,58,Married,Working parttime,344
2000,Excellent,10,E. nor. central,$25000 or more,White,Male,Junior college,40,Never married,Working fulltime,345
2000,Excellent,10,E. nor. central,$6000 to 6999,White,Male,Bachelor,25,Never married,Working fulltime,348
2000,Poor,0,E. nor. central,$25000 or more,Black,Female,High school,28,Never married,Working fulltime,349
2000,Excellent,5,E. nor. central,$25000 or more,White,Male,Bachelor,42,Married,Working fulltime,356
2000,Good,10,E. nor. central,$3000 to 3999,White,Male,High school,19,Never married,Working fulltime,357
2000,Good,10,E. nor. central,$25000 or more,White,Female,Graduate,43,Married,Working fulltime,358
2000,Excellent,5,E. nor. central,$25000 or more,White,Female,High school,59,Divorced,Working fulltime,359
2000,Good,5,E. nor. central,$25000 or more,White,Male,High school,40,Married,Working fulltime,361
2000,Fair,10,Pacific,$25000 or more,White,Male,High school,50,Never married,Working fulltime,363
2000,Good,10,Pacific,$25000 or more,White,Female,Bachelor,36,Married,Working fulltime,365
2000,Excellent,10,Pacific,$25000 or more,White,Male,Graduate,45,Married,Working fulltime,366
2000,Excellent,10,Pacific,$25000 or more,White,Male,Bachelor,71,Divorced,Working parttime,367
2000,Good,10,Pacific,$25000 or more,Black,Male,High school,58,Married,Working fulltime,368
2000,Fair,10,Pacific,$25000 or more,White,Female,Junior college,31,Married,Working fulltime,369
2000,Fair,0,Pacific,$25000 or more,White,Male,Bachelor,48,Never married,Working fulltime,372
2000,Good,10,Pacific,$20000 - 24999,White,Male,Bachelor,26,Never married,Working fulltime,373
2000,Fair,0,Pacific,$25000 or more,White,Male,Graduate,35,Divorced,Working fulltime,374
2000,Good,5,Pacific,$20000 - 24999,Black,Male,High school,52,Married,Working fulltime,376
2000,Good,5,Pacific,$25000 or more,White,Female,Junior college,27,Divorced,Working fulltime,377
2000,Fair,10,Pacific,$25000 or more,Other,Female,Bachelor,42,Never married,Working fulltime,381
2000,Good,5,Pacific,$25000 or more,White,Female,Junior college,52,Married,Working fulltime,383
2000,Good,5,Pacific,$25000 or more,White,Female,Graduate,38,Married,Working fulltime,389
2000,Good,10,Pacific,$25000 or more,Other,Female,High school,53,Married,Working fulltime,390
2000,Excellent,10,Pacific,$25000 or more,White,Male,Graduate,36,Married,Working fulltime,394
2000,Fair,10,Pacific,$20000 - 24999,White,Female,High school,68,Divorced,Retired,397
2000,Good,10,Pacific,$25000 or more,White,Female,High school,45,Married,Working fulltime,398
2000,Excellent,10,Pacific,$25000 or more,White,Female,High school,34,Divorced,Working fulltime,399
2000,Good,0,Pacific,$8000 to 9999,White,Female,High school,26,Never married,Working fulltime,400
2000,Good,10,Pacific,$15000 - 19999,White,Female,Bachelor,59,Married,Working parttime,402
2000,Good,10,Pacific,$25000 or more,Other,Male,Graduate,37,Married,Working fulltime,408
2000,Good,10,Pacific,$1000 to 2999,Other,Female,High school,35,Married,Keeping house,409
2000,Good,0,Pacific,$25000 or more,Other,Female,Graduate,42,Married,Working fulltime,410
2000,Excellent,5,Pacific,$20000 - 24999,White,Female,High school,46,Married,Working fulltime,411
2000,Good,10,Pacific,$25000 or more,White,Male,High school,53,Married,Working fulltime,412
2000,Good,10,Pacific,$25000 or more,White,Male,High school,28,Never married,Working fulltime,413
2000,Excellent,10,Pacific,$25000 or more,White,Female,Bachelor,54,Married,Working fulltime,414
2000,Excellent,5,Pacific,$1000 to 2999,White,Female,High school,32,Married,Working parttime,416
2000,Good,10,Pacific,$25000 or more,White,Female,Bachelor,53,Married,Working fulltime,417
2000,Excellent,0,Pacific,$5000 to 5999,White,Female,High school,20,Never married,Working parttime,418
2000,Good,0,Pacific,$25000 or more,White,Female,Bachelor,46,Married,Working fulltime,420
2000,Excellent,10,Pacific,$25000 or more,White,Female,Junior college,53,Divorced,Working fulltime,423
2000,Excellent,5,Pacific,$25000 or more,Black,Male,Bachelor,37,Never married,Working fulltime,429
2000,Good,5,Pacific,$20000 - 24999,Other,Male,Lt high school,41,Married,Working fulltime,430
2000,Good,5,Pacific,$25000 or more,White,Female,Bachelor,34,Married,Working fulltime,432
2000,Fair,0,Pacific,$25000 or more,Other,Male,Junior college,39,Never married,Working fulltime,433
2000,Good,10,Pacific,$25000 or more,White,Male,High school,56,Divorced,Working fulltime,434
2000,Good,10,Pacific,$20000 - 24999,White,Female,High school,52,Divorced,Working fulltime,435
2000,Good,10,Pacific,$25000 or more,White,Male,High school,28,Married,Working fulltime,438
2000,Good,5,Pacific,$25000 or more,White,Male,Bachelor,61,Divorced,Working fulltime,442
2000,Excellent,10,Pacific,$25000 or more,White,Female,High school,47,Divorced,Working fulltime,443
2000,Good,10,Pacific,$25000 or more,Black,Male,High school,38,Divorced,Working fulltime,445
2000,Good,10,Pacific,$20000 - 24999,White,Female,High school,54,Divorced,Working fulltime,448
2000,Good,10,Pacific,$1000 to 2999,White,Female,Lt high school,31,Never married,Keeping house,450
2000,Good,10,Pacific,$25000 or more,Other,Female,Lt high school,42,Widowed,Working fulltime,453
2000,Good,5,Pacific,$25000 or more,Black,Female,High school,41,Married,Working fulltime,454
2000,Excellent,5,Pacific,$15000 - 19999,White,Female,High school,25,Never married,Working fulltime,456
2000,Excellent,5,Pacific,$3000 to 3999,White,Female,High school,34,Married,Working fulltime,459
2000,Good,5,Pacific,$25000 or more,White,Male,Bachelor,52,Married,"Unempl, laid off",460
2000,Good,10,Pacific,$20000 - 24999,Black,Female,High school,32,Never married,School,464
2000,Good,5,Pacific,$25000 or more,White,Male,High school,37,Married,Working fulltime,465
2000,Good,0,Pacific,$20000 - 24999,Other,Male,Lt high school,32,Married,Working fulltime,467
2000,Excellent,5,Pacific,$25000 or more,Other,Male,High school,35,Married,Working fulltime,471
2000,Excellent,10,Pacific,$25000 or more,Black,Male,Graduate,48,Widowed,Working fulltime,472
2000,Excellent,10,Pacific,$20000 - 24999,White,Male,High school,30,Never married,Working fulltime,473
2000,Poor,5,Pacific,$15000 - 19999,White,Female,High school,25,Married,Working fulltime,482
2000,Good,10,Pacific,$20000 - 24999,White,Female,High school,54,Married,Working fulltime,483
2000,Good,10,Middle atlantic,$25000 or more,Other,Male,High school,31,Married,Working fulltime,486
2000,Fair,10,Middle atlantic,$15000 - 19999,White,Female,High school,60,Widowed,Working fulltime,489
2000,Excellent,5,Middle atlantic,$25000 or more,White,Female,Graduate,25,Never married,Working fulltime,493
2000,Good,5,Middle atlantic,$25000 or more,White,Female,Graduate,52,Married,Temp not working,497
2000,Good,10,Middle atlantic,Lt $1000,Black,Female,Lt high school,44,Never married,Keeping house,500
2000,Excellent,5,Middle atlantic,$15000 - 19999,Black,Female,High school,42,Married,Temp not working,501
2000,Good,5,Middle atlantic,$1000 to 2999,Black,Male,Lt high school,20,Never married,"Unempl, laid off",503
2000,Excellent,5,Middle atlantic,$15000 - 19999,Black,Female,Lt high school,42,Married,Temp not working,505
2000,Excellent,10,Middle atlantic,$15000 - 19999,White,Female,High school,43,Married,Working fulltime,507
2000,Excellent,5,Middle atlantic,$25000 or more,White,Female,Graduate,57,Never married,Working fulltime,509
2000,Good,10,Middle atlantic,$25000 or more,Black,Female,High school,56,Never married,Working fulltime,510
2000,Good,10,Middle atlantic,$15000 - 19999,Black,Male,High school,34,Never married,Working fulltime,511
2000,Good,10,Middle atlantic,$25000 or more,Black,Male,High school,24,Never married,Working fulltime,515
2000,Good,10,Middle atlantic,$25000 or more,White,Male,High school,59,Married,Working fulltime,520
2000,Fair,10,Middle atlantic,$7000 to 7999,White,Female,High school,29,Divorced,Working parttime,522
2000,Fair,5,Middle atlantic,$15000 - 19999,White,Female,High school,29,Married,Working fulltime,525
2000,Good,10,Middle atlantic,$25000 or more,White,Female,Lt high school,25,Never married,Working fulltime,526
2000,Fair,10,Middle atlantic,$25000 or more,White,Female,Bachelor,40,Never married,Working fulltime,531
2000,Good,0,Middle atlantic,$25000 or more,White,Male,Bachelor,55,Never married,Temp not working,536
2000,Good,5,Middle atlantic,$25000 or more,White,Female,Bachelor,38,Married,Working fulltime,539
2000,Good,5,Middle atlantic,$25000 or more,White,Female,High school,25,Divorced,Working fulltime,542
2000,Good,10,Middle atlantic,$25000 or more,White,Male,Bachelor,42,Married,Working fulltime,547
2000,Good,10,Middle atlantic,$6000 to 6999,Black,Female,High school,62,Widowed,Working parttime,548
2000,Good,0,Middle atlantic,$5000 to 5999,Black,Female,High school,48,Widowed,Working parttime,553
2000,Good,10,Middle atlantic,$10000 - 14999,Black,Female,High school,31,Never married,Working fulltime,555
2000,Good,10,New england,$25000 or more,White,Female,Graduate,48,Married,Working fulltime,561
2000,Fair,5,New england,$4000 to 4999,White,Female,High school,48,Married,Working parttime,565
2000,Good,10,New england,$25000 or more,White,Female,High school,44,Married,"Unempl, laid off",566
2000,Good,5,Middle atlantic,$25000 or more,Other,Female,Junior college,36,Married,Working fulltime,569
2000,Good,10,Middle atlantic,$8000 to 9999,Black,Male,Bachelor,29,Never married,Working parttime,570
2000,Fair,10,Middle atlantic,$15000 - 19999,Other,Female,Lt high school,51,Married,Working fulltime,571
2000,Good,10,Middle atlantic,$25000 or more,Other,Male,Lt high school,40,Married,Working fulltime,572
2000,Fair,0,Middle atlantic,$25000 or more,Other,Male,High school,62,Divorced,Working fulltime,573
2000,Fair,5,Middle atlantic,$15000 - 19999,Other,Female,Lt high school,59,Married,Working fulltime,576
2000,Excellent,10,Middle atlantic,$3000 to 3999,Black,Female,High school,35,Married,Working fulltime,579
2000,Good,0,Middle atlantic,$25000 or more,Black,Female,High school,25,Never married,Working fulltime,580
2000,Fair,10,Middle atlantic,Lt $1000,Black,Male,Lt high school,63,Married,Retired,582
2000,Good,5,Middle atlantic,$25000 or more,Other,Male,High school,37,Married,Working fulltime,583
2000,Good,10,Middle atlantic,$8000 to 9999,Other,Female,High school,47,Separated,Working fulltime,584
2000,Good,5,Middle atlantic,$25000 or more,White,Male,Bachelor,29,Never married,Working fulltime,586
2000,Good,10,Middle atlantic,$25000 or more,Other,Male,Bachelor,25,Married,Working fulltime,588
2000,Excellent,5,Middle atlantic,$25000 or more,White,Male,Bachelor,35,Married,Working fulltime,589
2000,Good,10,Middle atlantic,$25000 or more,White,Female,High school,53,Divorced,Working fulltime,590
2000,Good,10,Middle atlantic,$20000 - 24999,White,Female,High school,49,Married,Working fulltime,591
2000,Excellent,5,Middle atlantic,$25000 or more,White,Male,High school,45,Married,Working fulltime,592
2000,Good,5,Middle atlantic,$25000 or more,White,Female,High school,52,Married,Working fulltime,593
2000,Fair,10,Middle atlantic,$25000 or more,White,Male,High school,36,Married,Working fulltime,595
2000,Good,10,Middle atlantic,$25000 or more,White,Male,High school,41,Married,Working fulltime,596
2000,Good,10,Middle atlantic,$20000 - 24999,White,Female,High school,62,Widowed,Other,598
2000,Excellent,5,Middle atlantic,$25000 or more,White,Female,Junior college,48,Divorced,Working fulltime,600
2000,Good,5,Middle atlantic,$25000 or more,White,Male,Lt high school,54,Married,Working fulltime,602
2000,Good,5,Middle atlantic,$25000 or more,White,Female,High school,32,Married,Working fulltime,603
2000,Good,10,Middle atlantic,$25000 or more,Other,Female,High school,39,Never married,Working fulltime,605
2000,Excellent,10,Middle atlantic,$25000 or more,Other,Male,Junior college,27,Never married,Working fulltime,607
2000,Good,10,Middle atlantic,$25000 or more,Other,Male,Junior college,22,Never married,Working fulltime,609
2000,Good,10,Middle atlantic,$25000 or more,White,Male,High school,33,Married,Working fulltime,611
2000,Fair,0,Middle atlantic,$25000 or more,White,Male,Bachelor,24,Never married,Working parttime,612
2000,Good,10,Middle atlantic,$25000 or more,White,Male,High school,51,Married,Working fulltime,614
2000,Good,5,Middle atlantic,$25000 or more,White,Male,Graduate,37,Married,Working fulltime,615
2000,Excellent,10,Middle atlantic,$25000 or more,White,Male,Graduate,51,Married,Working fulltime,616
2000,Good,10,Middle atlantic,$25000 or more,White,Male,Graduate,54,Never married,Working fulltime,617
2000,Excellent,0,Middle atlantic,$25000 or more,White,Female,Graduate,52,Never married,Working fulltime,620
2000,Excellent,0,Middle atlantic,$10000 - 14999,Other,Female,Bachelor,27,Never married,Working parttime,621
