Year,Health Condition,General happiness,U.S. Region,Income,Race,Sex,Highest Degree,Age,Marital status,Work Status,ID
2000,Good,Pretty happy,W. sou. central,$10000 - 14999,White,Male,Lt high school,40,Married,Working fulltime,19
2000,Excellent,Very happy,W. sou. central,Not applicable,Black,Female,High school,45,Married,School,20
2000,Not applicable,Pretty happy,W. sou. central,$25000 or more,White,Male,Bachelor,48,Married,Working fulltime,21
2000,Excellent,Very happy,W. sou. central,Refused,White,Female,Bachelor,49,Married,Working fulltime,22
2000,Excellent,Pretty happy,W. sou. central,Not applicable,White,Male,No answer,19,Never married,School,23
2000,Good,Pretty happy,W. sou. central,$25000 or more,White,Male,Bachelor,54,Widowed,Keeping house,24
2000,Good,Pretty happy,W. sou. central,Not applicable,White,Female,Bachelor,82,Widowed,Retired,25
2000,Fair,Pretty happy,W. sou. central,Not applicable,White,Female,High school,83,Widowed,Retired,26
2000,Poor,Pretty happy,W. sou. central,Not applicable,White,Male,High school,89 or older,Widowed,Retired,27
2000,Fair,Not too happy,W. sou. central,Not applicable,White,Female,High school,88,Widowed,Retired,28
2000,Poor,Pretty happy,W. sou. central,Not applicable,White,Female,High school,72,Divorced,Retired,29
2000,Excellent,Very happy,W. sou. central,Not applicable,White,Female,High school,82,Widowed,Retired,30
2000,Not applicable,Very happy,W. sou. central,Not applicable,White,Female,High school,89 or older,Widowed,Retired,31
2000,Good,Very happy,W. sou. central,Refused,White,Female,Bachelor,34,Married,Working fulltime,32
2000,Excellent,Pretty happy,W. sou. central,Not applicable,Black,Female,High school,55,Married,Keeping house,33
2000,Fair,Pretty happy,W. sou. central,$25000 or more,White,Male,High school,37,Never married,Working fulltime,34
2000,Good,Very happy,W. sou. central,$10000 - 14999,White,Male,High school,22,Married,Working fulltime,35
2000,Good,Not too happy,W. sou. central,$20000 - 24999,Other,Female,Lt high school,33,Never married,Working fulltime,36
2000,Good,No answer,W. sou. central,$25000 or more,White,Male,Bachelor,37,Never married,"Unempl, laid off",37
2000,Fair,No answer,W. sou. central,$20000 - 24999,White,Male,High school,43,Never married,Working fulltime,38
2000,Good,Pretty happy,W. sou. central,$25000 or more,White,Male,Bachelor,29,Never married,Working fulltime,39
2000,Excellent,Pretty happy,W. sou. central,Refused,White,Female,High school,57,Never married,Retired,40
2000,Fair,Pretty happy,W. sou. central,$20000 - 24999,White,Female,Bachelor,31,Married,Working fulltime,41
2000,Excellent,Very happy,W. sou. central,$25000 or more,White,Female,Junior college,45,Married,Working fulltime,42
2000,Excellent,Pretty happy,W. sou. central,$15000 - 19999,Black,Male,High school,36,Divorced,"Unempl, laid off",43
2000,Poor,Not too happy,W. sou. central,Not applicable,White,Male,Graduate,52,Never married,Other,44
2000,Not applicable,Pretty happy,W. sou. central,$25000 or more,White,Male,High school,26,Never married,Working fulltime,45
2000,Fair,Pretty happy,W. sou. central,$10000 - 14999,White,Female,Lt high school,46,Never married,Working fulltime,46
2000,Excellent,Very happy,W. sou. central,$25000 or more,White,Male,Bachelor,65,Married,Working fulltime,47
2000,Not applicable,Very happy,W. sou. central,$3000 to 3999,White,Female,High school,52,Married,Working parttime,48
2000,Excellent,Very happy,W. sou. central,$25000 or more,White,Female,Bachelor,56,Married,Working fulltime,49
2000,Good,Pretty happy,W. sou. central,$25000 or more,White,Male,Bachelor,66,Married,Working fulltime,50
2000,Good,Pretty happy,W. sou. central,$15000 - 19999,White,Male,Lt high school,20,Never married,Working fulltime,51
2000,Excellent,Pretty happy,W. sou. central,$5000 to 5999,White,Female,Bachelor,64,Married,Working parttime,52
2000,Excellent,Very happy,W. sou. central,$25000 or more,White,Male,Graduate,59,Married,Working fulltime,53
2000,Good,Pretty happy,W. sou. central,Not applicable,White,Female,High school,46,Married,Keeping house,54
2000,Excellent,Pretty happy,W. sou. central,$10000 - 14999,Other,Male,Bachelor,26,Married,Working parttime,55
2000,Good,Pretty happy,W. sou. central,Don't know,Black,Female,High school,39,Divorced,Working fulltime,56
2000,Good,Very happy,W. sou. central,$20000 - 24999,White,Female,High school,51,Divorced,Working fulltime,57
2000,Excellent,Pretty happy,W. sou. central,$25000 or more,White,Female,Graduate,45,Divorced,Working fulltime,58
2000,Good,Pretty happy,W. sou. central,$1000 to 2999,White,Female,Bachelor,23,Never married,Keeping house,59
2000,Excellent,Pretty happy,W. sou. central,Don't know,White,Female,No answer,21,Never married,Working fulltime,60
2000,Not applicable,Very happy,W. sou. central,$10000 - 14999,White,Female,Bachelor,26,Married,Keeping house,61
2000,Excellent,Pretty happy,W. sou. central,$25000 or more,Other,Female,Graduate,31,Married,Working fulltime,62
2000,Good,Very happy,W. sou. central,$25000 or more,Black,Female,Bachelor,27,Never married,Working fulltime,63
2000,Fair,Pretty happy,W. sou. central,Not applicable,White,Female,High school,78,Divorced,Retired,64
2000,Good,Pretty happy,W. sou. central,$10000 - 14999,White,Female,Lt high school,29,Never married,Working parttime,65
2000,Good,Pretty happy,W. sou. central,Not applicable,Black,Male,High school,43,Widowed,Keeping house,66
2000,Excellent,Very happy,W. sou. central,$25000 or more,White,Female,Junior college,61,Divorced,Working fulltime,67
2000,Excellent,Very happy,W. sou. central,Not applicable,White,Female,Lt high school,33,Married,Keeping house,68
2000,Excellent,Pretty happy,E. nor. central,$15000 - 19999,Black,Female,High school,34,Never married,Keeping house,69
2000,Not applicable,Very happy,E. nor. central,Not applicable,White,Female,Lt high school,89 or older,Never married,Keeping house,70
2000,Fair,No answer,E. nor. central,Not applicable,Black,Female,Lt high school,83,Widowed,Retired,71
2000,Good,Pretty happy,E. nor. central,Not applicable,Black,Female,Lt high school,78,Widowed,Retired,72
2000,Good,Pretty happy,E. nor. central,Not applicable,Black,Female,High school,89 or older,Widowed,Other,73
2000,Poor,Pretty happy,E. nor. central,Not applicable,Black,Female,High school,84,Widowed,Retired,74
2000,Not applicable,No answer,E. nor. central,Not applicable,Black,Female,Lt high school,69,Widowed,Keeping house,75
2000,Excellent,Pretty happy,E. nor. central,$10000 - 14999,Black,Female,Lt high school,32,Never married,Working fulltime,76
2000,Fair,Not too happy,E. nor. central,Not applicable,Black,Female,Lt high school,76,Widowed,Other,77
2000,Fair,Not too happy,E. nor. central,Not applicable,Black,Female,High school,41,Never married,Other,78
2000,Excellent,Pretty happy,E. nor. central,$25000 or more,Black,Male,Graduate,32,Married,Working fulltime,79
2000,Fair,Pretty happy,E. nor. central,$25000 or more,Black,Female,Graduate,29,Never married,Working fulltime,80
2000,Not applicable,Pretty happy,E. nor. central,$25000 or more,Black,Female,High school,40,Married,Working parttime,81
2000,Good,Pretty happy,E. nor. central,$3000 to 3999,White,Female,Junior college,44,Married,Working parttime,82
2000,Not applicable,Very happy,E. nor. central,Not applicable,Black,Female,Graduate,70,Widowed,Retired,83
2000,Fair,Not too happy,E. nor. central,Refused,Black,Male,High school,40,Married,Temp not working,84
2000,Good,Pretty happy,E. nor. central,$3000 to 3999,Black,Female,High school,51,Married,Working parttime,85
2000,Poor,Not too happy,E. nor. central,Not applicable,White,Male,High school,75,Divorced,Retired,86
2000,Good,Pretty happy,E. nor. central,$20000 - 24999,Black,Male,High school,22,Never married,Working fulltime,87
2000,Poor,Not too happy,E. nor. central,$25000 or more,Black,Female,Bachelor,53,Separated,Working fulltime,88
2000,Excellent,Pretty happy,E. nor. central,$10000 - 14999,White,Male,High school,20,Never married,Working fulltime,89
2000,Good,Pretty happy,E. nor. central,Not applicable,White,Female,High school,80,Widowed,Retired,90
2000,Good,Not too happy,E. nor. central,Refused,White,Male,Lt high school,70,Widowed,Retired,91
2000,Excellent,Very happy,E. nor. central,$25000 or more,White,Male,Junior college,45,Married,Working fulltime,92
2000,Good,Pretty happy,E. nor. central,$25000 or more,White,Female,No answer,46,Divorced,Working fulltime,93
2000,Not applicable,Pretty happy,E. nor. central,$15000 - 19999,White,Male,Bachelor,24,Never married,Working fulltime,94
2000,Excellent,Pretty happy,E. nor. central,$20000 - 24999,White,Male,High school,51,Never married,Working fulltime,95
2000,Not applicable,Very happy,E. nor. central,$25000 or more,White,Male,High school,32,Never married,Working fulltime,96
2000,Fair,Very happy,E. nor. central,Refused,White,Female,High school,53,Married,Working fulltime,97
2000,Excellent,Very happy,E. nor. central,Lt $1000,White,Female,Graduate,52,Married,Working parttime,98
2000,Good,Very happy,E. nor. central,Not applicable,White,Male,Bachelor,83,Widowed,Retired,99
2000,Excellent,Pretty happy,E. nor. central,Refused,White,Male,Graduate,39,Divorced,Working fulltime,100
2000,Excellent,Very happy,E. nor. central,Refused,White,Male,Graduate,47,Married,Working fulltime,101
2000,Excellent,Pretty happy,E. nor. central,$25000 or more,White,Male,Bachelor,45,Married,Working fulltime,102
2000,Excellent,Pretty happy,E. nor. central,Not applicable,White,Female,Bachelor,48,Married,Keeping house,103
2000,Good,Very happy,E. nor. central,$25000 or more,Other,Male,Bachelor,50,Married,Working fulltime,104
2000,Fair,Pretty happy,E. nor. central,Not applicable,White,Male,High school,78,Widowed,Retired,105
2000,Poor,Not too happy,E. nor. central,Not applicable,White,Female,Bachelor,45,Married,Other,106
2000,Not applicable,Pretty happy,E. nor. central,Refused,White,Male,Bachelor,56,Divorced,Working fulltime,107
2000,Good,Very happy,E. nor. central,$25000 or more,White,Female,Bachelor,47,Divorced,Working fulltime,108
2000,Poor,Pretty happy,E. nor. central,$25000 or more,White,Male,Bachelor,72,Married,Retired,109
2000,Good,Pretty happy,E. nor. central,$10000 - 14999,Other,Female,High school,29,Never married,Working fulltime,110
2000,Good,Very happy,E. nor. central,$20000 - 24999,White,Male,Junior college,26,Married,Working parttime,111
2000,Good,Pretty happy,E. nor. central,Refused,Black,Male,High school,52,Married,Working fulltime,112
2000,Good,Pretty happy,E. nor. central,Refused,Other,Male,Bachelor,39,Separated,Working fulltime,113
2000,Not applicable,Pretty happy,E. nor. central,$25000 or more,Other,Female,Bachelor,30,Married,Working fulltime,114
2000,Not applicable,Pretty happy,E. nor. central,$25000 or more,Black,Female,High school,48,Never married,Working fulltime,115
2000,Good,Pretty happy,E. nor. central,$25000 or more,Black,Female,High school,62,Divorced,Working fulltime,116
2000,Not applicable,Pretty happy,E. nor. central,$25000 or more,White,Female,High school,57,Divorced,Working fulltime,117
2000,Fair,Pretty happy,Middle atlantic,Not applicable,White,Male,Lt high school,60,Separated,Retired,118
2000,Excellent,Very happy,Middle atlantic,$10000 - 14999,White,Female,Lt high school,47,Married,Keeping house,119
2000,Poor,Not too happy,Middle atlantic,Not applicable,White,Female,Lt high school,55,Widowed,Other,120
2000,Poor,Not too happy,Middle atlantic,Not applicable,White,Female,Lt high school,43,Separated,Other,121
2000,Fair,Very happy,Middle atlantic,Not applicable,White,Female,Lt high school,31,Divorced,Keeping house,122
2000,Poor,Not too happy,Middle atlantic,Not applicable,White,Male,Lt high school,44,Married,"Unempl, laid off",123
2000,Excellent,Pretty happy,Middle atlantic,No answer,White,Male,Junior college,40,Divorced,Working fulltime,124
2000,Excellent,Very happy,Middle atlantic,Not applicable,White,Female,High school,25,Never married,Keeping house,125
2000,Fair,Pretty happy,Middle atlantic,$20000 - 24999,White,Female,High school,37,Divorced,Working fulltime,126
2000,Fair,Not too happy,Middle atlantic,Refused,White,Male,Lt high school,56,Divorced,Working fulltime,127
2000,Not applicable,Very happy,Middle atlantic,Refused,White,Male,Lt high school,28,Married,Working fulltime,128
2000,Excellent,No answer,Middle atlantic,Not applicable,Black,Male,Lt high school,36,Never married,Keeping house,129
2000,Good,Pretty happy,Middle atlantic,Not applicable,Black,Male,High school,35,Never married,School,130
2000,Good,Very happy,Middle atlantic,$3000 to 3999,White,Male,High school,23,Never married,Working parttime,131
2000,Good,Very happy,Middle atlantic,$10000 - 14999,White,Male,High school,30,Married,Working fulltime,132
2000,Excellent,Pretty happy,Middle atlantic,$8000 to 9999,White,Male,Graduate,32,Married,Working fulltime,133
2000,Fair,Not too happy,Middle atlantic,$10000 - 14999,Black,Female,High school,50,Divorced,Working fulltime,134
2000,Good,Pretty happy,Middle atlantic,$8000 to 9999,Black,Female,High school,38,Widowed,Keeping house,135
2000,Excellent,No answer,Middle atlantic,$20000 - 24999,White,Female,Bachelor,31,Never married,Working fulltime,136
2000,Poor,Pretty happy,Middle atlantic,Not applicable,Black,Female,Lt high school,82,Widowed,Retired,137
2000,Not applicable,Not too happy,Middle atlantic,Not applicable,White,Female,High school,73,Divorced,Retired,138
2000,Not applicable,Pretty happy,Middle atlantic,Not applicable,Black,Male,Lt high school,57,Separated,Retired,139
2000,Fair,Not too happy,Middle atlantic,Not applicable,Black,Female,High school,60,Widowed,Retired,140
2000,Fair,No answer,Middle atlantic,Not applicable,White,Male,Lt high school,76,Never married,Retired,141
2000,Not applicable,Pretty happy,Middle atlantic,Not applicable,Black,Female,Lt high school,70,Widowed,Retired,142
2000,Fair,Pretty happy,Middle atlantic,Don't know,Black,Female,Lt high school,87,Widowed,Retired,143
2000,Good,Very happy,Middle atlantic,Not applicable,White,Female,Lt high school,70,Widowed,Retired,144
2000,Fair,Pretty happy,Middle atlantic,Not applicable,White,Female,Lt high school,78,Widowed,Retired,145
2000,Good,Pretty happy,South atlantic,$15000 - 19999,Black,Female,Junior college,32,Never married,Working fulltime,146
2000,Fair,Not too happy,South atlantic,$1000 to 2999,Black,Female,High school,58,Never married,Working fulltime,147
2000,Fair,Pretty happy,South atlantic,$8000 to 9999,Black,Female,High school,29,Never married,Working fulltime,148
2000,Good,Pretty happy,South atlantic,$25000 or more,Black,Female,Bachelor,39,Never married,Working fulltime,149
2000,Not applicable,Very happy,South atlantic,Not applicable,Black,Female,High school,44,Never married,Keeping house,150
2000,Good,No answer,South atlantic,$25000 or more,Other,Female,High school,40,Never married,Working fulltime,151
2000,Excellent,Very happy,South atlantic,Not applicable,Other,Female,Lt high school,36,Never married,Keeping house,152
2000,Excellent,Pretty happy,Middle atlantic,Refused,White,Male,High school,52,Married,Working fulltime,153
2000,Excellent,Very happy,Middle atlantic,$20000 - 24999,White,Female,High school,41,Married,Working fulltime,154
2000,Not applicable,Very happy,Middle atlantic,$25000 or more,Black,Female,High school,48,Separated,Working fulltime,155
2000,Good,Pretty happy,Middle atlantic,$20000 - 24999,White,Male,Lt high school,33,Never married,Working fulltime,156
2000,Good,Very happy,Middle atlantic,Not applicable,White,Female,High school,65,Widowed,Keeping house,157
2000,Good,Pretty happy,Middle atlantic,$25000 or more,White,Male,High school,41,Widowed,Working fulltime,158
2000,Excellent,Very happy,Middle atlantic,$25000 or more,White,Male,Graduate,58,Married,Working fulltime,159
2000,Good,Pretty happy,Middle atlantic,$25000 or more,White,Female,Bachelor,48,Married,Working fulltime,160
2000,Good,Pretty happy,Middle atlantic,Not applicable,Black,Female,High school,63,Married,Keeping house,161
2000,Good,Very happy,Middle atlantic,$15000 - 19999,White,Female,High school,43,Married,Working fulltime,162
2000,Good,Pretty happy,Middle atlantic,$10000 - 14999,White,Female,Lt high school,62,Married,Working parttime,163
2000,Excellent,Very happy,Middle atlantic,$25000 or more,White,Male,Bachelor,48,Never married,Working fulltime,164
2000,Not applicable,Pretty happy,Middle atlantic,No answer,White,Male,Graduate,49,Married,Working parttime,165
2000,Not applicable,Pretty happy,Middle atlantic,$25000 or more,White,Male,Bachelor,48,Divorced,Working fulltime,166
2000,Good,Pretty happy,Middle atlantic,$1000 to 2999,White,Male,Lt high school,19,Never married,Working parttime,167
2000,Fair,Very happy,Middle atlantic,Not applicable,White,Male,High school,70,Married,Other,168
2000,Good,Pretty happy,Middle atlantic,$25000 or more,White,Male,Lt high school,42,Married,Working fulltime,169
2000,Not applicable,Very happy,Middle atlantic,Refused,White,Female,High school,36,Married,Working fulltime,170
2000,Excellent,Pretty happy,Middle atlantic,$25000 or more,White,Male,High school,30,Never married,Working fulltime,171
2000,Not applicable,Pretty happy,Middle atlantic,$20000 - 24999,White,Male,High school,32,Never married,Working parttime,172
2000,Excellent,Pretty happy,Middle atlantic,$25000 or more,White,Male,High school,36,Married,Working fulltime,173
2000,Fair,Pretty happy,Middle atlantic,Not applicable,White,Male,High school,38,Married,Other,174
2000,Excellent,Very happy,Middle atlantic,$25000 or more,White,Female,Bachelor,58,Married,Working fulltime,175
2000,Good,Pretty happy,Middle atlantic,Not applicable,White,Female,Junior college,47,Married,Keeping house,176
2000,Good,Pretty happy,Middle atlantic,$25000 or more,White,Female,High school,55,Married,Working fulltime,177
2000,Excellent,Very happy,Middle atlantic,Not applicable,White,Male,Graduate,72,Married,Retired,178
2000,Good,Very happy,Middle atlantic,Refused,White,Female,Junior college,31,Married,Working fulltime,179
2000,Fair,Not too happy,Middle atlantic,Refused,White,Male,High school,45,Married,Temp not working,180
2000,Excellent,Very happy,Middle atlantic,Refused,Other,Female,Bachelor,45,Married,Working parttime,181
2000,Good,Pretty happy,Middle atlantic,Not applicable,White,Female,High school,85,Widowed,Retired,182
2000,Good,Very happy,Middle atlantic,$25000 or more,Black,Male,Bachelor,48,Widowed,Working fulltime,183
2000,Not applicable,Pretty happy,Middle atlantic,No answer,White,Male,No answer,50,Married,Working fulltime,184
2000,Excellent,Very happy,Middle atlantic,$25000 or more,White,Male,Graduate,50,Married,Working fulltime,185
2000,Good,Very happy,Middle atlantic,$25000 or more,White,Male,Graduate,51,Married,Working fulltime,186
2000,Good,Pretty happy,Middle atlantic,$25000 or more,White,Female,Graduate,48,Divorced,Working fulltime,187
2000,Not applicable,Pretty happy,Middle atlantic,Not applicable,Black,Female,Graduate,45,Married,Working fulltime,188
2000,Good,Very happy,Middle atlantic,Lt $1000,White,Male,Bachelor,39,Married,Working fulltime,189
2000,Excellent,No answer,Pacific,$25000 or more,White,Male,Graduate,38,Never married,Working fulltime,190
2000,Good,Pretty happy,Pacific,$25000 or more,White,Male,Bachelor,40,Never married,Working fulltime,191
2000,Good,Pretty happy,Pacific,$8000 to 9999,White,Female,Bachelor,33,Never married,Working parttime,192
2000,Excellent,Pretty happy,Pacific,$25000 or more,White,Male,Lt high school,56,Divorced,Retired,193
2000,Not applicable,Pretty happy,Pacific,$25000 or more,White,Male,Graduate,67,Never married,Working fulltime,194
2000,Excellent,No answer,Pacific,$25000 or more,Black,Female,High school,43,Never married,Working fulltime,195
2000,Good,Pretty happy,Pacific,Refused,White,Male,Bachelor,56,Married,Working fulltime,196
2000,Fair,Pretty happy,Pacific,Not applicable,Black,Female,Lt high school,48,Never married,Keeping house,197
2000,Good,Pretty happy,Pacific,Not applicable,Other,Female,High school,32,Separated,School,198
2000,Not applicable,Very happy,Pacific,Not applicable,Black,Female,Lt high school,23,Never married,School,199
2000,Good,No answer,Pacific,Not applicable,Black,Female,Lt high school,28,Never married,Keeping house,200
2000,Not applicable,Very happy,Pacific,$10000 - 14999,Black,Female,High school,48,Divorced,Working parttime,201
2000,Fair,Pretty happy,Pacific,$3000 to 3999,Black,Female,High school,77,Widowed,Working parttime,202
2000,Good,Pretty happy,Pacific,Not applicable,Black,Female,Lt high school,38,Separated,Keeping house,203
2000,Good,Very happy,Pacific,$10000 - 14999,White,Female,Bachelor,40,Married,Working fulltime,204
2000,Excellent,Pretty happy,Pacific,$3000 to 3999,White,Female,Bachelor,39,Married,Working parttime,205
2000,Good,No answer,Pacific,$25000 or more,White,Male,Graduate,30,Separated,Working fulltime,206
2000,Excellent,Pretty happy,Pacific,$25000 or more,White,Male,High school,45,Divorced,Working fulltime,207
2000,Not applicable,Very happy,Pacific,$8000 to 9999,White,Male,Bachelor,52,Divorced,Working parttime,208
2000,Excellent,Pretty happy,Pacific,$25000 or more,White,Female,High school,53,Never married,Working fulltime,209
2000,Not applicable,Pretty happy,Pacific,$10000 - 14999,White,Female,High school,53,Married,Retired,210
2000,Good,Pretty happy,Pacific,$25000 or more,White,Female,Bachelor,39,Married,Temp not working,211
2000,Fair,Very happy,Pacific,Not applicable,White,Female,High school,78,Married,Retired,212
2000,Good,Very happy,Pacific,$25000 or more,White,Male,High school,41,Married,Working fulltime,213
2000,Excellent,Pretty happy,Pacific,Not applicable,White,Female,Bachelor,30,Married,Keeping house,214
2000,Fair,Pretty happy,Pacific,$1000 to 2999,White,Male,Lt high school,20,Never married,Working fulltime,215
2000,Fair,Not too happy,Pacific,$8000 to 9999,White,Female,High school,26,Never married,Working fulltime,216
2000,Good,Pretty happy,Pacific,$25000 or more,White,Male,Lt high school,21,Never married,Working fulltime,217
2000,Good,Pretty happy,Pacific,Lt $1000,White,Female,High school,31,Married,Keeping house,218
2000,Not applicable,Pretty happy,Pacific,$25000 or more,Other,Male,High school,32,Married,Working fulltime,219
2000,Good,No answer,Pacific,$25000 or more,White,Female,Graduate,45,Separated,Working fulltime,220
2000,Excellent,Very happy,Pacific,$25000 or more,White,Female,High school,28,Married,Working fulltime,221
2000,Not applicable,Not too happy,Pacific,$20000 - 24999,White,Female,Junior college,21,Never married,Working fulltime,222
2000,Good,Pretty happy,Pacific,$25000 or more,White,Male,High school,36,Married,Working fulltime,223
2000,Excellent,Very happy,Pacific,$15000 - 19999,White,Female,Junior college,35,Never married,Working parttime,224
2000,Fair,Pretty happy,Pacific,$25000 or more,White,Female,Lt high school,38,Divorced,Temp not working,225
2000,Not applicable,Pretty happy,Pacific,Refused,White,Female,Graduate,No answer,Never married,Working fulltime,226
2000,Excellent,Pretty happy,Pacific,$25000 or more,White,Male,Bachelor,28,Never married,School,227
2000,Good,Not too happy,Pacific,$8000 to 9999,White,Male,Lt high school,62,Never married,Other,228
2000,Good,Pretty happy,Pacific,$25000 or more,White,Female,High school,53,Married,Working fulltime,229
2000,Good,Pretty happy,Pacific,$25000 or more,Other,Male,No answer,27,Married,Working fulltime,230
2000,Not applicable,Pretty happy,Pacific,Not applicable,White,Male,High school,45,Never married,Working fulltime,231
2000,Good,Very happy,Pacific,$25000 or more,White,Male,High school,46,Married,Working fulltime,232
2000,Poor,Pretty happy,Pacific,Not applicable,White,Female,Junior college,82,Widowed,Retired,233
2000,Good,Pretty happy,Pacific,$25000 or more,White,Male,High school,56,Married,Working fulltime,234
2000,Good,Pretty happy,Pacific,$3000 to 3999,White,Female,High school,42,Never married,Keeping house,235
2000,Good,Pretty happy,Pacific,Not applicable,White,Female,Lt high school,66,Divorced,Retired,236
2000,Not applicable,Not too happy,Pacific,$25000 or more,Other,Male,Lt high school,36,Married,Working fulltime,237
2000,Good,Very happy,Pacific,$25000 or more,White,Male,Graduate,49,Separated,Working fulltime,238
2000,Not applicable,Very happy,Pacific,$25000 or more,White,Female,Bachelor,72,Married,Working parttime,239
2000,Good,Pretty happy,Pacific,Not applicable,White,Female,High school,53,Married,Keeping house,240
2000,Excellent,Very happy,Pacific,Not applicable,White,Female,Graduate,42,Married,Keeping house,241
2000,Not applicable,Pretty happy,Pacific,Not applicable,White,Male,Graduate,79,Widowed,Retired,242
2000,Fair,Not too happy,Pacific,Not applicable,White,Female,Junior college,50,Married,Keeping house,243
2000,Poor,Not too happy,Pacific,Not applicable,Other,Female,High school,50,Widowed,"Unempl, laid off",244
2000,Excellent,Very happy,Pacific,$25000 or more,White,Male,High school,32,Married,Working fulltime,245
2000,Good,Pretty happy,Pacific,$3000 to 3999,Other,Female,High school,20,Never married,Working parttime,246
2000,Good,Pretty happy,Pacific,$25000 or more,White,Male,High school,51,Married,Working fulltime,247
2000,Good,Very happy,Pacific,$6000 to 6999,Other,Male,Lt high school,35,Married,Working fulltime,248
2000,Excellent,Very happy,Pacific,$15000 - 19999,Other,Male,Junior college,54,Married,Working fulltime,249
2000,Good,Very happy,Pacific,$6000 to 6999,White,Female,Graduate,65,Widowed,Working parttime,250
2000,Good,Pretty happy,Pacific,Not applicable,White,Female,High school,36,Married,Keeping house,251
2000,Good,Pretty happy,Pacific,$25000 or more,White,Female,Bachelor,48,Married,Working fulltime,252
2000,Poor,Very happy,Pacific,Not applicable,White,Female,High school,54,Married,School,253
2000,Not applicable,Pretty happy,Pacific,Not applicable,White,Female,High school,62,Divorced,Retired,254
2000,Not applicable,Pretty happy,Pacific,$25000 or more,White,Male,High school,51,Never married,Working fulltime,255
2000,Excellent,Pretty happy,Pacific,$4000 to 4999,White,Female,Bachelor,38,Married,Keeping house,256
2000,Excellent,Very happy,Pacific,Not applicable,White,Male,Lt high school,85,Married,Retired,257
2000,Poor,Not too happy,Pacific,Not applicable,White,Male,High school,67,Divorced,Retired,258
2000,Excellent,Very happy,E. nor. central,$10000 - 14999,White,Female,High school,48,Married,Working parttime,259
2000,Good,Pretty happy,E. nor. central,$25000 or more,White,Male,Junior college,29,Never married,Working fulltime,260
2000,Good,Pretty happy,E. nor. central,$25000 or more,White,Male,High school,64,Separated,Working fulltime,261
2000,Good,Pretty happy,E. nor. central,$25000 or more,White,Male,High school,26,Divorced,Working fulltime,262
2000,Good,Pretty happy,E. nor. central,Not applicable,White,Female,High school,72,Widowed,Retired,263
2000,Excellent,Pretty happy,E. nor. central,$25000 or more,White,Male,High school,58,Married,Working fulltime,264
2000,Not applicable,Not too happy,E. nor. central,Not applicable,White,Female,Lt high school,45,Separated,Keeping house,265
2000,Excellent,Very happy,E. nor. central,Refused,White,Female,Bachelor,49,Widowed,Working fulltime,266
2000,Poor,Pretty happy,E. nor. central,$25000 or more,White,Male,Bachelor,47,Married,Temp not working,267
2000,Excellent,Pretty happy,E. nor. central,No answer,White,Male,High school,19,Never married,Keeping house,268
2000,Not applicable,Pretty happy,E. nor. central,Not applicable,White,Female,High school,37,Never married,Working fulltime,269
2000,Good,Very happy,E. nor. central,Not applicable,Black,Female,High school,24,Married,Keeping house,270
2000,Good,Pretty happy,E. nor. central,$25000 or more,Black,Male,Bachelor,43,Married,Working fulltime,271
2000,Not applicable,Pretty happy,E. nor. central,$25000 or more,White,Male,Graduate,29,Never married,Working fulltime,272
2000,Not applicable,Pretty happy,E. nor. central,$10000 - 14999,Other,Male,Graduate,26,Never married,Working fulltime,273
